,cityname,latitude,longitude,temperature_F,humidity_percentage,cloudiness_percentage,windspeed_mph
0,Ketchikan,55.3422,-131.6461,43.27,81,75,5.75
1,Poltavka,54.3663,71.7632,35.51,54,59,15.84
2,Cape Town,-33.9258,18.4232,61.34,69,13,4.0
3,Hobart,-42.8794,147.3294,46.13,95,90,5.99
4,Kavieng,-2.5744,150.7967,85.32,69,64,8.52
5,Poum,-20.2333,164.0167,76.64,76,5,10.67
6,Pedernales,18.0384,-71.744,81.25,77,23,9.24
7,Vila Velha,-20.3297,-40.2925,76.95,78,75,8.05
8,Saint Anthony,45.0205,-93.218,46.99,93,90,1.99
9,Hermanus,-34.4187,19.2345,57.79,89,15,9.06
10,Xining,36.6167,101.7667,35.35,76,41,2.13
11,Ust'-Ordynskiy,52.805,104.7508,15.64,59,50,2.66
12,Muros,42.7762,-9.0603,59.97,94,98,12.8
13,‘Ewa Beach,21.3156,-158.0072,82.31,62,75,8.99
14,Puerto Ayora,-0.7393,-90.3518,68.56,92,44,5.01
15,Lompoc,34.6391,-120.4579,80.46,38,1,9.22
16,Port Alfred,-33.5906,26.891,67.17,95,100,10.74
17,Bathsheba,13.2167,-59.5167,81.21,78,75,10.36
18,Busselton,-33.65,115.3333,47.05,72,52,7.72
19,Mercedes,-34.6515,-59.4307,82.02,49,44,14.88
20,Upernavik,72.7868,-56.1549,20.17,59,98,4.94
21,Hambantota,6.1241,81.1185,78.15,84,94,3.96
22,Coyhaique,-45.5752,-72.0662,58.95,51,90,3.44
23,Ţahţā,26.7693,31.5021,78.28,23,88,7.07
24,Boende,-0.2167,20.8667,71.78,98,100,1.28
25,Jamestown,42.097,-79.2353,56.91,67,1,11.5
26,Bredasdorp,-34.5322,20.0403,57.27,93,16,4.59
27,Atuona,-9.8,-139.0333,78.66,66,1,15.95
28,Port Hardy,50.6996,-127.4199,48.38,87,90,9.22
29,Avarua,-21.2078,-159.775,77.05,65,75,10.36
30,Chardara,41.2547,67.9692,47.84,77,100,5.88
31,Kapaa,22.0752,-159.319,79.41,82,20,4.0
32,Lixouri,38.2019,20.4314,59.38,64,3,9.24
33,Ürümqi,43.801,87.6005,38.35,60,0,4.47
34,Milanówek,52.1188,20.6716,45.5,95,60,8.08
35,Vaini,-21.2,-175.2,80.76,78,75,10.36
36,Raudeberg,61.9875,5.1352,51.78,94,100,10.0
37,Albany,42.6001,-73.9662,43.2,87,0,0.58
38,Głogów,51.6636,16.0845,45.59,52,14,8.16
39,Chokurdakh,70.6333,147.9167,-8.68,96,96,3.98
40,Saint-Louis,16.3333,-15.0,89.96,28,88,7.78
41,Rikitea,-23.1203,-134.9692,75.69,79,81,19.6
42,Iralaya,15.0,-83.2333,84.29,81,34,7.9
43,Saint Paul Harbor,57.79,-152.4072,42.31,45,20,8.05
44,Margate,51.3813,1.3862,57.16,79,63,3.0
45,Rosa Zarate,0.3333,-79.4667,77.94,82,72,4.68
46,Mataura,-46.1927,168.8643,67.23,55,30,1.01
47,Vostok,46.4856,135.8833,33.87,82,2,2.86
48,Barrow,71.2906,-156.7887,23.02,80,90,13.8
49,Punta Arenas,-53.15,-70.9167,59.11,58,90,13.8
50,Saskylakh,71.9167,114.0833,0.01,97,100,10.8
51,Vanimo,-2.6741,141.3028,80.56,84,95,4.52
52,Ribeira Grande,38.5167,-28.7,70.48,90,92,27.83
53,New Norfolk,-42.7826,147.0587,45.54,99,100,6.76
54,Hualmay,-11.0964,-77.6139,65.39,79,63,10.45
55,Lorengau,-2.0226,147.2712,84.85,69,79,6.4
56,Mahébourg,-20.4081,57.7,73.26,79,3,12.41
57,Kahului,20.8947,-156.47,83.1,68,40,24.16
58,Yerbogachën,61.2767,108.0108,16.21,83,65,10.96
59,Pevek,69.7008,170.3133,1.92,93,100,4.74
60,Scottsbluff,41.8666,-103.6672,53.08,35,1,8.99
61,Saldanha,-33.0117,17.9442,60.17,88,34,15.46
62,Rawlins,41.7911,-107.2387,53.42,41,1,12.66
63,Ushuaia,-54.8,-68.3,58.66,38,20,9.22
64,Hithadhoo,-0.6,73.0833,83.17,74,100,13.6
65,Carnarvon,-24.8667,113.6333,64.47,45,0,24.16
66,São Filipe,14.8961,-24.4956,78.89,79,100,13.02
67,Baykit,61.67,96.37,12.42,98,98,3.06
68,Kapoeta,4.7717,33.5903,80.02,49,43,4.5
69,Butaritari,3.0707,172.7902,82.2,69,8,12.03
70,Cartagena,10.3997,-75.5144,85.62,74,40,4.61
71,Douglas,41.3,-96.167,52.99,76,90,1.99
72,Tuktoyaktuk,69.4541,-133.0374,27.5,83,100,3.85
73,Beringovskiy,63.05,179.3167,7.21,81,25,5.75
74,Tasiilaq,65.6145,-37.6368,30.36,72,56,8.61
75,Enumclaw,47.2043,-121.9915,58.69,94,100,7.0
76,Najrān,17.4924,44.1277,62.98,27,1,0.63
77,Bluff,-46.6,168.3333,58.6,79,45,6.26
78,Norman Wells,65.282,-126.8329,23.04,86,90,5.75
79,Guangyuan,32.442,105.823,58.5,96,100,3.49
80,San Quintín,30.4833,-115.95,75.22,39,0,5.64
81,Qaanaaq,77.484,-69.3632,20.21,87,98,6.78
82,Arraial do Cabo,-22.9661,-42.0278,71.94,88,100,16.08
83,Ahipara,-35.1667,173.1667,64.11,71,6,11.83
84,Saryagash,41.4511,69.1701,46.36,79,100,3.91
85,Mil'kovo,54.7167,158.6167,33.71,84,39,1.12
86,Fukuechō,32.6881,128.8419,65.77,63,46,24.05
87,Leeton,-34.5667,146.4,64.89,40,0,17.09
88,Cayenne,4.9333,-52.3333,82.09,80,0,1.99
89,Dikson,73.5069,80.5464,9.34,91,100,7.61
90,Sinnamary,5.3833,-52.95,78.84,86,100,8.66
91,Cockburn Town,21.4612,-71.1419,82.65,70,2,7.72
92,Khatanga,71.9667,102.5,-10.91,97,98,9.08
93,Iqaluit,63.7506,-68.5145,38.7,55,100,11.01
94,Castro,-24.7911,-50.0119,61.81,96,91,7.92
95,Talnakh,69.4865,88.3972,-7.13,93,95,9.57
96,Cidreira,-30.1811,-50.2056,68.38,83,1,18.37
97,Salalah,17.0151,54.0924,77.09,78,20,4.61
98,Longyearbyen,78.2186,15.6401,17.44,79,0,6.91
99,San Patricio,28.017,-97.5169,80.64,21,0,14.38
100,Zhigansk,66.7697,123.3711,14.04,94,100,10.04
101,Kortkeros,61.8106,51.5806,21.2,84,70,9.04
102,Chapais,49.7834,-74.8492,39.42,60,0,5.17
103,Cândido Mendes,-1.4467,-45.7167,74.93,90,27,2.17
104,Ponta do Sol,32.6667,-17.1,68.02,70,77,6.2
105,Lebu,-37.6167,-73.65,53.85,87,3,15.59
106,Constitución,-35.3333,-72.4167,57.38,75,12,14.47
107,Xichang,27.8964,102.2634,55.76,84,93,2.39
108,Segezha,63.7415,34.3222,36.07,91,100,17.72
109,East London,-33.0153,27.9116,66.4,96,100,11.16
110,Kiruna,67.8557,20.2251,27.52,86,75,8.05
111,Dombarovskiy,50.7587,59.5386,34.74,77,100,13.31
112,Guilin,25.2819,110.2864,62.28,89,100,5.41
113,Korla,41.7597,86.1469,46.6,45,40,2.57
114,Dingle,10.9995,122.6711,77.43,90,87,7.61
115,Torbay,47.6666,-52.7314,38.12,92,100,5.01
116,Olafsvik,64.8945,-23.7142,42.17,86,89,31.29
117,Pemangkat,1.1667,108.9667,76.86,89,100,6.8
118,Guerrero Negro,27.9769,-114.0611,78.76,36,0,12.93
119,Sola,-13.8833,167.55,81.36,76,37,16.13
